a=1: 0 primes so far, density 0.0000  [0s]
a=2: 0 primes so far, density 0.0000  [0s]
a=3: 1 primes so far, density 0.1667  [0s]
a=4: 2 primes so far, density 0.4167  [0s]
a=5: 3 primes so far, density 0.4500  [0s]
a=6: 3 primes so far, density 0.4500  [0s]
a=7: 4 primes so far, density 0.4579  [0s]
a=8: 5 primes so far, density 0.5204  [0s]
a=9: 6 primes so far, density 0.5482  [0s]
a=10: 7 primes so far, density 0.6482  [0s]
a=11: 9 primes so far, density 0.7505  [0s]
a=12: 10 primes so far, density 0.8338  [0s]
a=13: 11 primes so far, density 0.8349  [0s]
a=14: 12 primes so far, density 0.8587  [0s]
a=15: 12 primes so far, density 0.8587  [0s]
a=16: 12 primes so far, density 0.8587  [0s]
a=18: 13 primes so far, density 0.9143  [0s]
a=20: 14 primes so far, density 0.9393  [0s]
a=21: 15 primes so far, density 0.9452  [0s]
a=22: 15 primes so far, density 0.9452  [0s]
a=24: 16 primes so far, density 0.9536  [0s]
a=26: 17 primes so far, density 0.9539  [0s]
a=28: 19 primes so far, density 0.9986  [0s]
a=30: 20 primes so far, density 1.0016  [0s]
a=33: 20 primes so far, density 1.0016  [0s]
a=35: 21 primes so far, density 1.0302  [0s]
a=36: 22 primes so far, density 1.0580  [0s]
a=39: 23 primes so far, density 1.0708  [0s]
a=40: 23 primes so far, density 1.0708  [0s]
a=42: 23 primes so far, density 1.0708  [0s]
a=44: 24 primes so far, density 1.0733  [0s]
a=45: 25 primes so far, density 1.0749  [0s]
a=48: 27 primes so far, density 1.0987  [0s]
a=52: 29 primes so far, density 1.1243  [0s]
a=55: 30 primes so far, density 1.1255  [0s]
a=56: 30 primes so far, density 1.1255  [0s]
a=60: 32 primes so far, density 1.1437  [0s]
a=63: 32 primes so far, density 1.1437  [0s]
a=65: 32 primes so far, density 1.1437  [0s]
a=66: 33 primes so far, density 1.1588  [0s]
a=70: 34 primes so far, density 1.1624  [0s]
a=72: 34 primes so far, density 1.1624  [0s]
a=77: 34 primes so far, density 1.1624  [0s]
a=78: 34 primes so far, density 1.1624  [0s]
a=80: 34 primes so far, density 1.1624  [0s]
a=84: 34 primes so far, density 1.1624  [0s]
a=88: 34 primes so far, density 1.1624  [0s]
a=90: 34 primes so far, density 1.1624  [0s]
a=91: 35 primes so far, density 1.1646  [0s]
a=99: 36 primes so far, density 1.1696  [0s]
a=104: 36 primes so far, density 1.1696  [0s]
a=105: 36 primes so far, density 1.1696  [0s]
a=110: 37 primes so far, density 1.1706  [0s]
a=112: 37 primes so far, density 1.1706  [0s]
a=117: 39 primes so far, density 1.1835  [0s]
a=120: 39 primes so far, density 1.1835  [0s]
a=126: 39 primes so far, density 1.1835  [0s]
a=130: 40 primes so far, density 1.1912  [0s]
a=132: 40 primes so far, density 1.1912  [0s]
a=140: 40 primes so far, density 1.1912  [0s]
a=143: 40 primes so far, density 1.1912  [0s]
a=144: 41 primes so far, density 1.1981  [0s]
a=154: 42 primes so far, density 1.1997  [0s]
a=156: 46 primes so far, density 1.2088  [0s]
a=165: 46 primes so far, density 1.2088  [0s]
a=168: 47 primes so far, density 1.2094  [0s]
a=176: 47 primes so far, density 1.2094  [0s]
a=180: 48 primes so far, density 1.2150  [0s]
a=182: 48 primes so far, density 1.2150  [0s]
a=195: 48 primes so far, density 1.2150  [0s]
a=198: 48 primes so far, density 1.2150  [0s]
a=208: 48 primes so far, density 1.2150  [0s]
a=210: 49 primes so far, density 1.2197  [0s]
a=220: 49 primes so far, density 1.2197  [0s]
a=231: 50 primes so far, density 1.2219  [0s]
a=234: 50 primes so far, density 1.2219  [0s]
a=240: 50 primes so far, density 1.2219  [0s]
a=252: 50 primes so far, density 1.2219  [0s]
a=260: 51 primes so far, density 1.2238  [0s]
a=264: 52 primes so far, density 1.2244  [0s]
a=273: 52 primes so far, density 1.2244  [0s]
a=280: 52 primes so far, density 1.2244  [0s]
a=286: 53 primes so far, density 1.2249  [0s]
a=308: 53 primes so far, density 1.2249  [0s]
a=312: 53 primes so far, density 1.2249  [0s]
a=315: 53 primes so far, density 1.2249  [0s]
a=330: 53 primes so far, density 1.2249  [0s]
a=336: 54 primes so far, density 1.2259  [0s]
a=360: 54 primes so far, density 1.2259  [0s]
a=364: 55 primes so far, density 1.2286  [0s]
a=385: 56 primes so far, density 1.2288  [0s]
a=390: 56 primes so far, density 1.2288  [0s]
a=396: 56 primes so far, density 1.2288  [0s]
a=420: 57 primes so far, density 1.2312  [0s]
a=429: 57 primes so far, density 1.2312  [0s]
a=440: 57 primes so far, density 1.2312  [0s]
a=455: 57 primes so far, density 1.2312  [0s]
a=462: 57 primes so far, density 1.2312  [0s]
a=468: 57 primes so far, density 1.2312  [0s]
a=495: 58 primes so far, density 1.2322  [0s]
a=504: 59 primes so far, density 1.2342  [0s]
a=520: 59 primes so far, density 1.2342  [0s]
a=528: 59 primes so far, density 1.2342  [0s]
a=546: 60 primes so far, density 1.2360  [0s]
a=560: 60 primes so far, density 1.2360  [0s]
a=572: 61 primes so far, density 1.2361  [0s]
