primes_e5000.json d=12 N0=12: pool 151 primes, density 0.9280, alg free 0.167, samples 120000
greedy+LS: uncovered 0.3521 [1s]
iter 0: uncovered 0.3521 [1s]
iter 1: uncovered 0.3521 [1s]
iter 2: uncovered 0.3521 [2s]
iter 7: uncovered 0.3521 [4s]
iter 10: uncovered 0.3521 [4s]
iter 45: uncovered 0.3520 [16s]
iter 75: uncovered 0.3520 [24s]
iter 78: uncovered 0.3520 [25s]
iter 85: uncovered 0.3520 [27s]
iter 93: uncovered 0.3519 [30s]
iter 95: uncovered 0.3519 [30s]
iter 97: uncovered 0.3519 [31s]
iter 116: uncovered 0.3519 [35s]
iter 120: uncovered 0.3518 [36s]
FINAL: estimated uncovered 0.3518 [45s]
