a=50: 45 primes, density 1.2228 [1s]
a=100: 83 primes, density 1.4262 [1s]
a=150: 105 primes, density 1.5213 [1s]
a=200: 137 primes, density 1.6038 [1s]
a=250: 165 primes, density 1.6497 [1s]
a=300: 185 primes, density 1.6817 [1s]
a=350: 206 primes, density 1.7091 [1s]
a=400: 233 primes, density 1.7428 [2s]
a=450: 252 primes, density 1.7662 [2s]
a=500: 279 primes, density 1.7888 [2s]
a=550: 301 primes, density 1.8120 [2s]
a=600: 323 primes, density 1.8299 [2s]
a=650: 341 primes, density 1.8477 [2s]
a=700: 356 primes, density 1.8632 [2s]
a=750: 367 primes, density 1.8748 [2s]
a=800: 389 primes, density 1.8924 [2s]
a=850: 400 primes, density 1.9004 [2s]
a=900: 410 primes, density 1.9091 [2s]
a=950: 425 primes, density 1.9214 [2s]
a=1000: 436 primes, density 1.9255 [2s]
a=1050: 445 primes, density 1.9315 [2s]
a=1100: 457 primes, density 1.9390 [2s]
a=1150: 467 primes, density 1.9457 [2s]
a=1200: 476 primes, density 1.9519 [2s]
a=1250: 490 primes, density 1.9590 [2s]
a=1300: 502 primes, density 1.9667 [2s]
a=1350: 513 primes, density 1.9724 [2s]
a=1400: 525 primes, density 1.9789 [3s]
a=1450: 533 primes, density 1.9834 [3s]
a=1500: 545 primes, density 1.9904 [3s]
a=1550: 558 primes, density 1.9958 [3s]
a=1600: 567 primes, density 2.0009 [3s]
a=1650: 579 primes, density 2.0065 [3s]
a=1700: 588 primes, density 2.0110 [3s]
a=1750: 596 primes, density 2.0154 [3s]
a=1800: 606 primes, density 2.0193 [3s]
a=1850: 611 primes, density 2.0215 [3s]
a=1900: 621 primes, density 2.0265 [3s]
a=1950: 631 primes, density 2.0310 [3s]
a=2000: 640 primes, density 2.0345 [3s]
a=2050: 647 primes, density 2.0375 [3s]
a=2100: 662 primes, density 2.0435 [3s]
a=2150: 669 primes, density 2.0458 [3s]
a=2200: 674 primes, density 2.0474 [3s]
a=2250: 686 primes, density 2.0522 [3s]
a=2300: 694 primes, density 2.0552 [3s]
a=2350: 704 primes, density 2.0587 [4s]
a=2400: 714 primes, density 2.0624 [4s]
a=2450: 721 primes, density 2.0645 [4s]
a=2500: 730 primes, density 2.0677 [4s]
a=2550: 735 primes, density 2.0697 [4s]
a=2600: 738 primes, density 2.0709 [4s]
a=2650: 744 primes, density 2.0732 [4s]
a=2700: 756 primes, density 2.0777 [4s]
a=2750: 760 primes, density 2.0791 [4s]
a=2800: 768 primes, density 2.0820 [4s]
a=2850: 775 primes, density 2.0845 [4s]
a=2900: 777 primes, density 2.0852 [4s]
a=2950: 784 primes, density 2.0876 [4s]
a=3000: 791 primes, density 2.0899 [4s]
a=3050: 799 primes, density 2.0926 [4s]
a=3100: 804 primes, density 2.0942 [4s]
a=3150: 806 primes, density 2.0948 [5s]
a=3200: 810 primes, density 2.0961 [5s]
a=3250: 814 primes, density 2.0973 [5s]
a=3300: 820 primes, density 2.0992 [5s]
a=3350: 827 primes, density 2.1013 [5s]
a=3400: 831 primes, density 2.1025 [5s]
a=3450: 835 primes, density 2.1036 [5s]
a=3500: 843 primes, density 2.1059 [5s]
a=3550: 852 primes, density 2.1085 [5s]
a=3600: 860 primes, density 2.1107 [5s]
a=3650: 867 primes, density 2.1127 [5s]
a=3700: 874 primes, density 2.1146 [5s]
a=3750: 881 primes, density 2.1164 [5s]
a=3800: 886 primes, density 2.1178 [5s]
a=3850: 892 primes, density 2.1193 [5s]
a=3900: 897 primes, density 2.1206 [5s]
a=3950: 903 primes, density 2.1222 [6s]
a=4000: 909 primes, density 2.1237 [6s]
a=4050: 918 primes, density 2.1259 [6s]
a=4100: 925 primes, density 2.1276 [6s]
a=4150: 929 primes, density 2.1286 [6s]
a=4200: 931 primes, density 2.1291 [6s]
a=4250: 937 primes, density 2.1305 [6s]
a=4300: 943 primes, density 2.1319 [6s]
a=4350: 950 primes, density 2.1335 [6s]
a=4400: 959 primes, density 2.1356 [6s]
a=4450: 961 primes, density 2.1360 [6s]
a=4500: 966 primes, density 2.1371 [6s]
a=4550: 971 primes, density 2.1382 [6s]
a=4600: 971 primes, density 2.1382 [6s]
a=4650: 977 primes, density 2.1395 [6s]
a=4700: 981 primes, density 2.1404 [6s]
a=4750: 985 primes, density 2.1412 [6s]
a=4800: 989 primes, density 2.1421 [6s]
a=4850: 990 primes, density 2.1423 [7s]
a=4900: 995 primes, density 2.1433 [7s]
a=4950: 1002 primes, density 2.1447 [7s]
a=5000: 1006 primes, density 2.1455 [7s]
E=5000: 1006 primes, total density 2.1455
